event_id,team_id,team,ha,opponent,opp_id,team_score,opp_score,team_pen,team_pen_yds,opp_pen,opp_pen_yds,margin,one_score,line_details,spread,over_under,our_ml,opp_ml
401282103,333,Alabama,away,TA&M,245,38,41,8,82,6,50,-3,True,ALA -18.5,18.5,51.0,-1099,684
401282107,333,Alabama,away,MSST,344,49,9,6,60,6,25,40,False,ALA -17.5,17.5,59.5,-982,623
401282111,333,Alabama,home,TENN,2633,52,24,4,30,12,98,28,False,ALA -25.5,-25.5,68.0,-3623,1342
401282120,333,Alabama,home,LSU,99,20,14,9,64,6,30,6,True,ALA -29,-29.0,67.0,-6608,1813
401282127,333,Alabama,home,NMSU,166,59,3,4,37,3,15,56,False,ALA -50.5,-50.5,67.0,,
401282135,333,Alabama,home,ARK,8,42,35,5,45,6,25,7,True,ALA -20.5,-20.5,58.5,-1548,843
401282146,333,Alabama,away,AUB,2,24,22,11,129,7,52,2,True,ALA -20.5,20.5,57.0,-1478,818
401282154,333,Alabama,home,UGA,61,41,24,7,85,6,45,17,False,UGA -6.5,6.5,49.0,197,-249
401282154,61,Georgia,away,ALA,333,24,41,6,45,7,85,-17,False,UGA -6.5,6.5,49.0,-249,197
401331235,333,Alabama,home,CIN,2132,27,6,6,36,6,39,21,False,ALA -13,-13.0,57.5,-509,374
401331242,333,Alabama,home,UGA,61,18,33,6,42,10,70,-15,False,UGA -3,3.0,53.0,127,-151
401331242,61,Georgia,away,ALA,333,33,18,10,70,6,42,15,False,UGA -3,3.0,53.0,-151,127
401403854,333,Alabama,home,USU,328,55,0,6,40,11,110,55,False,ALA -42,-42.0,63.0,,
401403868,333,Alabama,away,TEX,251,20,19,15,100,5,30,1,True,ALA -21,21.0,63.5,-1564,842
401403880,333,Alabama,home,ULM,2433,63,7,6,60,3,25,56,False,ALA -49.5,-49.5,61.5,-10000,4000
401403892,333,Alabama,home,VAN,238,55,3,6,55,6,36,52,False,ALA -40.5,-40.5,60.5,-10000,3000
401403902,333,Alabama,away,ARK,8,49,26,10,101,6,31,23,False,ALA -17,17.0,61.0,-860,571
401403909,333,Alabama,home,TA&M,245,24,20,6,73,8,59,4,True,ALA -24,-24.0,48.0,-3231,1237
401403921,333,Alabama,away,TENN,2633,49,52,17,130,6,39,-3,True,ALA -9,9.0,68.0,-330,259
401403922,333,Alabama,home,MSST,344,30,6,3,20,10,100,24,False,ALA -21,-21.0,61.5,-1735,939
401403934,333,Alabama,away,LSU,99,31,32,9,92,7,64,-1,True,ALA -13.5,13.5,56.5,-549,395
401403943,333,Alabama,away,MISS,145,30,24,5,45,6,50,6,True,ALA -11,11.0,65.5,-428,326
401403946,333,Alabama,home,APSU,2046,34,0,4,30,3,30,34,False,ALA -45,-45.0,58.0,,
